insert into acnl_furniture values(1, 0, '? Block', 'unorderable', 'Fortune Cookie', 'orange', 'brown');
insert into acnl_furniture values(254, 0, 'Creepy Clock', 'unorderable', 'Halloween', 'brown', 'brown');
insert into acnl_furniture values(255, 0, 'Creepy Coffin', 'unorderable', 'Halloween', 'brown', 'brown');
insert into acnl_furniture values(256, 0, 'Creepy Crystal', 'unorderable', 'Halloween', 'red', 'blue');
insert into acnl_furniture values(257, 0, 'Creepy Skeleton', 'unorderable', 'Halloween', 'white', 'white');
insert into acnl_furniture values(258, 0, 'Creepy Statue', 'unorderable', 'Halloween', 'gray', 'gray');
insert into acnl_furniture values(259, 0, 'Creepy Stone', 'unorderable', 'Halloween', 'gray', 'gray');
insert into acnl_furniture values(260, 0, 'Crew Member''s Seat', 'normal', 'Spotlight/Wishy', 'red', 'beige');
insert into acnl_furniture values(261, 0, 'Crew''s Monitor', 'normal', 'Spotlight/Wishy', 'colorful', 'colorful');
insert into acnl_furniture values(262, 0, 'Croton', 'normal', 'Garden Corner', 'green', 'white');
insert into acnl_furniture values(263, 0, 'Cubbyhole', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(264, 0, 'Cube Clock', 'normal', 'Timmy&Tommy''s', 'yellow', 'white');
insert into acnl_furniture values(265, 0, 'Cuckoo Clock', 'normal', 'Timmy&Tommy''s', 'red', 'brown');
insert into acnl_furniture values(266, 0, 'Cucumber Horse', 'unorderable', 'Obon (JP)', 'green', 'green');
insert into acnl_furniture values(267, 0, 'Cupid Bench', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(268, 0, 'Curling Stone', 'unorderable', 'Snowman', 'yellow', 'gray');
insert into acnl_furniture values(269, 0, 'Cushion', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(270, 0, 'Dab Table', 'unorderable', 'Chip', 'brown', 'brown');
insert into acnl_furniture values(271, 0, 'Daffodil', 'normal', 'Garden Corner', 'brown', 'white');
insert into acnl_furniture values(272, 0, 'Dala Horse', 'normal', 'Gulliver', 'red', 'colorful');
insert into acnl_furniture values(273, 0, 'Dango', 'unorderable', 'Tsukimi (JP)', 'brown', 'white');
insert into acnl_furniture values(274, 0, 'Dartboard', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(275, 0, 'Deer Scare', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(276, 0, 'Deluxe Range', 'normal', 'Timmy&Tommy''s', 'white', 'black');
insert into acnl_furniture values(277, 0, 'Deluxe Washer', 'normal', 'Spotlight/Wishy', 'orange', 'orange');
insert into acnl_furniture values(278, 0, 'Dentist''s Chair', 'normal', 'Timmy&Tommy''s', 'green', 'white');
insert into acnl_furniture values(279, 0, 'Desert Cactus', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(280, 0, 'Desk Light', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(281, 0, 'Dessert Case', 'normal', 'Timmy&Tommy''s', 'gray', 'black');
insert into acnl_furniture values(282, 0, 'Detour Arrow', 'normal', 'Timmy&Tommy''s', 'red', 'white');
insert into acnl_furniture values(283, 0, 'Dharma', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(284, 0, 'Dice Stereo', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(285, 0, 'Digital-Photo Frame', 'unorderable', 'Katie', 'black', 'black');
insert into acnl_furniture values(286, 0, 'Director''s Chair', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(287, 0, 'Dishwasher', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(288, 0, 'Display Shelf', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(289, 0, 'Display Stand', 'normal', 'Museum Shop', 'white', 'white');
insert into acnl_furniture values(290, 0, 'Diver Dan', 'unorderable', 'Island', 'yellow', 'colorful');
insert into acnl_furniture values(291, 0, 'Djimbe Drum', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(292, 0, 'DJ''s Turntable', 'normal', 'Timmy&Tommy''s', 'gray', 'black');
insert into acnl_furniture values(293, 0, 'Doghouse', 'normal', 'Timmy&Tommy''s', 'red', 'brown');
insert into acnl_furniture values(294, 0, 'Dollhouse', 'normal', 'Timmy&Tommy''s', 'pink', 'brown');
insert into acnl_furniture values(295, 0, 'Dolly', 'normal', 'Spotlight/Wishy', 'red', 'red');
insert into acnl_furniture values(296, 0, 'Donut Stool', 'normal', 'Timmy&Tommy''s', 'white', 'gray');
insert into acnl_furniture values(297, 0, 'Dracaena', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(298, 0, 'Dream Catcher', 'normal', 'Gulliver', 'red', 'brown');
insert into acnl_furniture values(299, 0, 'Drinking Fountain', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(300, 0, 'Drip Pail', 'normal', 'Timmy&Tommy''s', 'aqua', 'gray');
insert into acnl_furniture values(301, 0, 'Drum Set', 'normal', 'Timmy&Tommy''s', 'yellow', 'white');
insert into acnl_furniture values(302, 0, 'Eagle Pole', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(303, 0, 'Ebony Piano', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(304, 0, 'Editor''s Chair', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(305, 0, 'Editor''s Desk', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(306, 0, 'Effects Rack', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(307, 0, 'Egg Basket', 'unorderable', 'Bunny Day', 'colorful', 'brown');
insert into acnl_furniture values(308, 0, 'Egg Bed', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(309, 0, 'Egg Bench', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(310, 0, 'Egg Chair', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(311, 0, 'Egg Clock', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(312, 0, 'Egg Dresser', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(313, 0, 'Egg Lamp', 'unorderable', 'Bunny Day', 'aqua', 'colorful');
insert into acnl_furniture values(314, 0, 'Egg Stereo', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(315, 0, 'Egg Table', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(316, 0, 'Egg Toy Set', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(317, 0, 'Egg TV', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(318, 0, 'Egg Wardrobe', 'unorderable', 'Bunny Day', 'colorful', 'white');
insert into acnl_furniture values(319, 0, 'Eggplant Cow', 'unorderable', 'Obon (JP)', 'purple', 'purple');
insert into acnl_furniture values(320, 0, 'Eiffel Tower', 'normal', 'Gulliver', 'gray', 'gray');
insert into acnl_furniture values(321, 0, 'Eight Lamp', 'normal', 'Spotlight/Wishy', 'white', 'white');
insert into acnl_furniture values(322, 0, 'Elder Mask', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(323, 0, 'Electric Guitar', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(324, 0, 'Electric Kettle', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(325, 0, 'Elephant Slide', 'normal', 'Timmy&Tommy''s', 'yellow', 'blue');
insert into acnl_furniture values(326, 0, 'Espresso Maker', 'unorderable', 'Brewster', 'gray', 'gray');
insert into acnl_furniture values(327, 0, 'Executive Toy', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(328, 0, 'Exercise Bike', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(329, 0, 'Exhibit Partition', 'normal', 'Museum Shop', 'aqua', 'white');
insert into acnl_furniture values(330, 0, 'Exit Sign', 'normal', 'TimmyTommy''s', 'green', 'white');
insert into acnl_furniture values(331, 0, 'Exotic Bed', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(332, 0, 'Exotic Bench', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(333, 0, 'Exotic Bureau', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(334, 0, 'Exotic Chair', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(335, 0, 'Exotic Chest', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(336, 0, 'Exotic End Table', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(337, 0, 'Exotic Lamp', 'normal', 'Timmy&Tommy''s', 'yellow', 'beige');
insert into acnl_furniture values(338, 0, 'Exotic Screen', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(339, 0, 'Exotic Table', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(340, 0, 'Exotic Wall Shelf', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(341, 0, 'Exotic Wardrobe', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(342, 0, 'Extinguisher', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(343, 0, 'Fan', 'normal', 'Timmy&Tommy''s', 'green', 'aqua');
insert into acnl_furniture values(344, 0, 'Fan Palm', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(345, 0, 'Fancy Doll', 'normal', 'Timmy&Tommy''s', 'aqua', 'white');
insert into acnl_furniture values(346, 0, 'Fancy Frame', 'normal', 'Museum Shop', 'yellow', 'red');
insert into acnl_furniture values(347, 0, 'Female Mask', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(348, 0, 'Festival Lantern', 'normal', 'Timmy&Tommy''s', 'red', 'white');
insert into acnl_furniture values(349, 0, 'Festive Candle', 'normal', 'Limited (December 1 to 23) (NA)', 'orange', 'colorful');
insert into acnl_furniture values(350, 0, 'Festive Flag', 'normal', 'Limited (December 1 to 23) (NA)', 'colorful', 'colorful');
insert into acnl_furniture values(351, 0, 'Festive Tree', 'normal', 'Limited (December 1 to 23)', 'green', 'colorful');
insert into acnl_furniture values(352, 0, 'Festive Wreath', 'unorderable', 'Toy Day', 'green', 'green');
insert into acnl_furniture values(353, 0, 'Fire Bar', 'unorderable', 'Fortune Cookie', 'red', 'brown');
insert into acnl_furniture values(354, 0, 'Fire Flower', 'unorderable', 'Fortune Cookie', 'colorful', 'white');
insert into acnl_furniture values(355, 0, 'Fire Hydrant', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(356, 0, 'Firefly Lamp', 'unorderable', 'Nat', 'yellow', 'green');
insert into acnl_furniture values(357, 0, 'Fireplace', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(358, 0, 'Fish Grill', 'normal', 'Igloo Camper', 'gray', 'gray');
insert into acnl_furniture values(359, 0, 'Five Lamp', 'normal', 'Spotlight/Wishy', 'white', 'white');
insert into acnl_furniture values(360, 0, 'Flashy-Flower Sign', 'normal', 'Timmy&Tommy''s', 'colorful', 'colorful');
insert into acnl_furniture values(361, 0, 'Flat Display Case', 'normal', 'Museum Shop', 'beige', 'white');
insert into acnl_furniture values(362, 0, 'Flat-Screen TV', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(363, 0, 'Florence Flask', 'normal', 'Timmy&Tommy''s', 'green', 'gray');
insert into acnl_furniture values(364, 0, 'Flounder Table', 'unorderable', 'Chip', 'green', 'green');
insert into acnl_furniture values(365, 0, 'Flower Bouquet', 'unorderable', 'Weeding Day/Leif', 'yellow', 'pink');
insert into acnl_furniture values(366, 0, 'Flower Chair', 'normal', 'Timmy&Tommy''s', 'green', 'red');
insert into acnl_furniture values(367, 0, 'Flower Table', 'normal', 'Timmy&Tommy''s', 'green', 'red');
insert into acnl_furniture values(368, 0, 'Flying Saucer', 'normal', 'Timmy&Tommy''s', 'yellow', 'gray');
insert into acnl_furniture values(369, 0, 'Folding Chair', 'normal', 'Timmy&Tommy''s', 'aqua', 'gray');
insert into acnl_furniture values(370, 0, 'Folk Guitar', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(371, 0, 'Foosball Table', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(372, 0, 'Football-Fish Lamp', 'unorderable', 'Chip', 'blue', 'blue');
insert into acnl_furniture values(373, 0, 'Four Lamp', 'normal', 'Spotlight/Wishy', 'white', 'white');
insert into acnl_furniture values(374, 0, 'Freezer', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(375, 0, 'Froggy Chair', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(376, 0, 'Frog-Woman Pole', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(377, 0, 'Fruit Basket', 'unorderable', 'Harvest Festival', 'yellow', 'red');
insert into acnl_furniture values(378, 0, 'Game Shelf', 'normal', 'Timmy&Tommy''s', 'pink', 'pink');
insert into acnl_furniture values(379, 0, 'Game-Show Stand', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(380, 0, 'Garbage Can', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(381, 0, 'Garbage Pail', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(382, 0, 'Garden Gnome', 'normal', 'Spotlight/Wishy', 'red', 'orange');
insert into acnl_furniture values(383, 0, 'Gas Pump', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(384, 0, 'Gaudi''s Lizard', 'normal', 'Gulliver', 'aqua', 'colorful');
insert into acnl_furniture values(385, 0, 'General''s Fan', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(386, 0, 'General''s Stool', 'normal', 'Timmy&Tommy''s', 'beige', 'black');
insert into acnl_furniture values(387, 0, 'Genie''s Lamp', 'normal', 'Timmy&Tommy''s', 'yellow', 'yellow');
insert into acnl_furniture values(388, 0, 'Gerbera', 'normal', 'Garden Corner', 'orange', 'blue');
insert into acnl_furniture values(389, 0, 'Giant Dharma', 'normal', 'Spotlight/Wishy', 'red', 'red');
insert into acnl_furniture values(390, 0, 'Giraffe Ruler', 'normal', 'Timmy&Tommy''s', 'yellow', 'yellow');
insert into acnl_furniture values(391, 0, 'Glass Display Case', 'normal', 'Museum Shop', 'white', 'white');
insert into acnl_furniture values(392, 0, 'Glass-Top Table', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(393, 0, 'Globe', 'unorderable', 'Katie', 'aqua', 'brown');
insert into acnl_furniture values(394, 0, 'Go Board', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(395, 0, 'Goal Pole', 'unorderable', 'Fortune Cookie', 'brown', 'white');
insert into acnl_furniture values(396, 0, 'Gold Bug Trophy', 'unorderable', 'Nat', 'none', 'none');
insert into acnl_furniture values(397, 0, 'Gold Fish Trophy', 'unorderable', 'Chip', 'none', 'none');
insert into acnl_furniture values(398, 0, 'Gold HHA Plaque', 'unorderable', 'HHA', 'none', 'none');
insert into acnl_furniture values(399, 0, 'Gold HHA Trophy', 'unorderable', 'HHA', 'none', 'none');
insert into acnl_furniture values(400, 0, 'Gold House Model', 'unorderable', 'HHA', 'yellow', 'brown');
insert into acnl_furniture values(401, 0, 'Gold Stereo', 'normal', 'Timmy&Tommy''s', 'yellow', 'black');
insert into acnl_furniture values(402, 0, 'Golden Bed', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(403, 0, 'Golden Bench', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(404, 0, 'Golden Chair', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(405, 0, 'Golden Clock', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(406, 0, 'Golden Closet', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(407, 0, 'Golden Dresser', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(408, 0, 'Golden Man', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(409, 0, 'Golden Screen', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(410, 0, 'Golden Table', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(411, 0, 'Golden Wall Torch', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(412, 0, 'Golden Woman', 'unorderable', 'Cyrus', 'yellow', 'yellow');
insert into acnl_furniture values(413, 0, 'Golf Bag', 'normal', 'Timmy&Tommy''s', 'blue', 'aqua');
insert into acnl_furniture values(414, 0, 'Gorgeous Bed', 'unorderable', 'GracieGrace (Winter)', 'red', 'black');
insert into acnl_furniture values(415, 0, 'Gorgeous Chest', 'unorderable', 'GracieGrace (Winter)', 'black', 'black');
insert into acnl_furniture values(416, 0, 'Gorgeous Closet', 'unorderable', 'GracieGrace (Winter)', 'black', 'black');
insert into acnl_furniture values(417, 0, 'Gorgeous Counter', 'unorderable', 'GracieGrace (Winter)', 'red', 'black');
insert into acnl_furniture values(418, 0, 'Gorgeous Desk', 'unorderable', 'GracieGrace (Winter)', 'black', 'black');
insert into acnl_furniture values(419, 0, 'Gorgeous Lamp', 'unorderable', 'GracieGrace (Winter)', 'red', 'black');
insert into acnl_furniture values(420, 0, 'Gorgeous Seat', 'unorderable', 'GracieGrace (Winter)', 'red', 'red');
insert into acnl_furniture values(421, 0, 'Gorgeous Sofa', 'unorderable', 'GracieGrace (Winter)', 'red', 'red');
insert into acnl_furniture values(422, 0, 'Gorgeous Stool', 'unorderable', 'GracieGrace (Winter)', 'yellow', 'red');
insert into acnl_furniture values(423, 0, 'Gorgeous Table', 'unorderable', 'GracieGrace (Winter)', 'black', 'black');
insert into acnl_furniture values(424, 0, 'Gorgeous Wall Clock', 'unorderable', 'GracieGrace (Winter)', 'red', 'black');
insert into acnl_furniture values(425, 0, 'Gracie Bed', 'unorderable', 'GracieGrace (Summer)', 'blue', 'brown');
insert into acnl_furniture values(426, 0, 'Gracie Bench', 'unorderable', 'GracieGrace (Summer)', 'colorful', 'brown');
insert into acnl_furniture values(427, 0, 'Gracie Chair', 'unorderable', 'GracieGrace (Summer)', 'colorful', 'brown');
insert into acnl_furniture values(428, 0, 'Gracie Chest', 'unorderable', 'GracieGrace (Summer)', 'brown', 'brown');
insert into acnl_furniture values(429, 0, 'Gracie Desk', 'unorderable', 'GracieGrace (Summer)', 'brown', 'brown');
insert into acnl_furniture values(430, 0, 'Gracie Lamp', 'unorderable', 'GracieGrace (Summer)', 'blue', 'colorful');
insert into acnl_furniture values(431, 0, 'Gracie Low Table', 'unorderable', 'GracieGrace (Summer)', 'colorful', 'brown');
insert into acnl_furniture values(432, 0, 'Gracie Shelf', 'unorderable', 'GracieGrace (Summer)', 'colorful', 'brown');
insert into acnl_furniture values(433, 0, 'Gracie Wagon', 'unorderable', 'GracieGrace (Summer)', 'colorful', 'brown');
insert into acnl_furniture values(434, 0, 'Gracie Wall Clock', 'unorderable', 'GracieGrace (Summer)', 'colorful', 'brown');
insert into acnl_furniture values(435, 0, 'Gracie Wardrobe', 'unorderable', 'GracieGrace (Summer)', 'brown', 'brown');
insert into acnl_furniture values(436, 0, 'Grapefruit Table', 'normal', 'Timmy&Tommy''s', 'orange', 'blue');
insert into acnl_furniture values(437, 0, 'Grass Standee', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(438, 0, 'Green Bed', 'normal', 'Timmy&Tommy''s', 'green', 'orange');
insert into acnl_furniture values(439, 0, 'Green Bench', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(440, 0, 'Green Chair', 'normal', 'Timmy&Tommy''s', 'green', 'orange');
insert into acnl_furniture values(441, 0, 'Green Counter', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(442, 0, 'Green Desk', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(443, 0, 'Green Dresser', 'normal', 'Timmy&Tommy''s', 'green', 'orange');
insert into acnl_furniture values(444, 0, 'Green Lamp', 'normal', 'Timmy&Tommy''s', 'green', 'orange');
insert into acnl_furniture values(445, 0, 'Green Pantry', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(446, 0, 'Green Shell', 'unorderable', 'Fortune Cookie', 'green', 'green');
insert into acnl_furniture values(447, 0, 'Green Table', 'normal', 'Timmy&Tommy''s', 'green', 'orange');
insert into acnl_furniture values(448, 0, 'Green Wall Clock', 'normal', 'Timmy&Tommy''s', 'green', 'orange');
insert into acnl_furniture values(449, 0, 'Green Wardrobe', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(450, 0, 'Hammock', 'normal', 'Timmy&Tommy''s', 'purple', 'purple');
insert into acnl_furniture values(451, 0, 'Hamster Cage', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(452, 0, 'Handcart', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(453, 0, 'Harp', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(454, 0, 'Harpsichord', 'normal', 'Timmy&Tommy''s', 'yellow', 'brown');
insert into acnl_furniture values(455, 0, 'Harvest Bed', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(456, 0, 'Harvest Bureau', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(457, 0, 'Harvest Chair', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(458, 0, 'Harvest Clock', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(459, 0, 'Harvest Dresser', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(460, 0, 'Harvest Lamp', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(461, 0, 'Harvest Mirror', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(462, 0, 'Harvest Sofa', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(463, 0, 'Harvest Table', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(464, 0, 'Harvest TV', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(465, 0, 'Harvest Wall Lamp', 'normal', 'Limited (November 1 to Fourth Thursday)', 'pink', 'purple');
insert into acnl_furniture values(466, 0, 'Hawthorn Bonsai', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(467, 0, 'Hearth', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(468, 0, 'Hedge Standee', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(469, 0, 'Helm', 'unorderable', 'Pascal', 'brown', 'brown');
insert into acnl_furniture values(470, 0, 'HHA Pennant', 'unorderable', 'HHA', 'none', 'none');
insert into acnl_furniture values(471, 0, 'Hibachi', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(472, 0, 'Hibiscus', 'unorderable', 'Tree Day (KOR)', 'green', 'colorful');
insert into acnl_furniture values(473, 0, 'Hibiscus Clock', 'unorderable', 'Weeding Day/Leif', 'red', 'red');
insert into acnl_furniture values(474, 0, 'Hi-Fi Stereo', 'normal', 'Spotlight/Wishy', 'brown', 'black');
insert into acnl_furniture values(475, 0, 'High-End Stereo', 'normal', 'Timmy&Tommy''s', 'brown', 'black');
insert into acnl_furniture values(476, 0, 'High-Jump Mat', 'normal', 'Timmy&Tommy''s', 'green', 'brown');
insert into acnl_furniture values(477, 0, 'Hinaningyo', 'normal', 'Limited (March 1 to 3) (JP)', 'red', 'colorful');
insert into acnl_furniture values(478, 0, 'Holiday Candle', 'normal', 'Limited (December 1 to 23)', 'red', 'red');
insert into acnl_furniture values(479, 0, 'Holiday Stocking', 'unorderable', 'Naughty-or-Nice Day (EU)', 'red', 'red');
insert into acnl_furniture values(480, 0, 'Holly Bonsai', 'normal', 'Garden Corner', 'green', 'white');
insert into acnl_furniture values(481, 0, 'Hologram Machine', 'normal', 'Spotlight/Wishy', 'aqua', 'gray');
insert into acnl_furniture values(482, 0, 'Home-Computer Rack', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(483, 0, 'Homework Set', 'normal', 'Timmy&Tommy''s', 'colorful', 'white');
insert into acnl_furniture values(484, 0, 'Honeybee Chest', 'unorderable', 'Nat', 'yellow', 'black');
insert into acnl_furniture values(485, 0, 'Hospital Bed', 'normal', 'Timmy&Tommy''s', 'green', 'white');
insert into acnl_furniture values(486, 0, 'Hospital Screen', 'normal', 'Timmy&Tommy''s', 'aqua', 'gray');
insert into acnl_furniture values(487, 0, 'Hospital TV', 'normal', 'Timmy&Tommy''s', 'red', 'brown');
insert into acnl_furniture values(488, 0, 'Hot Plate', 'normal', 'Timmy&Tommy''s', 'white', 'black');
insert into acnl_furniture values(489, 0, 'Hourglass', 'normal', 'Timmy&Tommy''s', 'green', 'brown');
insert into acnl_furniture values(490, 0, 'Hula Doll', 'normal', 'Gulliver', 'red', 'green');
insert into acnl_furniture values(491, 0, 'Humidifier', 'normal', 'Timmy&Tommy''s', 'aqua', 'white');
insert into acnl_furniture values(492, 0, 'Hurdle', 'normal', 'Timmy&Tommy''s', 'blue', 'white');
insert into acnl_furniture values(493, 0, 'Hydrangea Bed', 'unorderable', 'Weeding Day/Leif', 'blue', 'blue');
insert into acnl_furniture values(494, 0, 'Ice Bed', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(495, 0, 'Ice Chair', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(496, 0, 'Ice Clock', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(497, 0, 'Ice Closet', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(498, 0, 'Ice Dresser', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(499, 0, 'Ice Lamp', 'unorderable', 'Snowmam', 'yellow', 'aqua');
insert into acnl_furniture values(500, 0, 'Ice Shelf', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(501, 0, 'Ice Side Table', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(502, 0, 'Ice Sofa', 'unorderable', 'Snowmam', 'aqua', 'aqua');
insert into acnl_furniture values(503, 0, 'Ice Table', 'unorderable', 'Snowmam', 'aqua', 'aqua');
